id,imena,žanri,jeziki,št poglavij
119,#DRCL Midnight Children,"['Historical', 'Horror', 'Seinen']",JA,10
120,10-nen Goshi no HikiNEET wo Yamete Gaishutsu shitara Jitakugo to Isekai ni Tenishiteta,"['Fantasy', 'Seinen']",JA,3
121,100,"['Action', 'Adventure', 'Drama']",EN,46
122,100% Perfect Girl,"['Drama', 'Psychological', 'Romance']",EN,165
123,"100,000 Levels of Body Refining : All the dogs I raise are the Emperor","['Action', 'Harem', 'Martial Arts']",EN,228
124,1000,['Action'],EN,16
125,1000 Yen Hero,"['Action', 'Comedy', 'School']",EN,52.5
126,101 Lovers Pet,['Romance'],EN,47
127,1031 All Saints Street,"['Comedy', 'Fantasy', 'Slice of Life']",EN,413
128,10th Dimension Boys,"['Comedy', 'Slice of Life']",EN,119
129,11 of Me,"['Adventure', 'Comedy', 'Drama']",EN,6
130,1111 Animals,['Comedy'],EN,110
131,1122: For a Happy Marriage,"['Drama', 'Romance', 'Seinen']",EN,42
132,12 Beast,"['Action', 'Adventure', 'Comedy']",EN,34
133,12-Sai,"['Drama', 'Romance', 'Slice of Life']",nedoločen,0
134,13 Club,"['Action', 'Drama', 'Mystery']",nedoločen,0
135,13 Sentinels: Aegis Rim Official Comic Anthology,"['Romance', 'Sci-Fi', 'Shounen']",EN,12
136,14 Juicy,"['Comedy', 'Ecchi', 'School']",EN,33
137,"15 Minutes 'Til They Actually Start Dating, Majide Tsukiau 15 Minutes Ago","['Comedy', 'Doujinshi', 'Romance']",EN,45
138,15 Minutes Before We Seriously Go Out,"['Comedy', 'Romance', 'Shoujo']",nedoločen,0
139,16 years old and a new start of lovely married life,"['Romance', 'School', 'Shoujo']",EN,0
140,"16-Sai no Haha ~ Josan-shi ga Mita, Kiseki no Shussan Monogatari ~",['Drama'],JA,6
141,1HP Club,['Fantasy'],EN,110
142,"2 Eclats, 10 Secondes 01",['Shounen'],nedoločen,0
143,2.5 Dimensional Seduction,"['Comedy', 'Drama', 'Romance']",nedoločen,0
144,2.5D Seduction,"['Comedy', 'Ecchi', 'Harem']",EN,140.5
145,20 Years Old Beyond the Line,['Seinen'],nedoločen,37
146,200% In Love,"['Comedy', 'Drama', 'Josei']",EN,62
147,2015: Space Series,"['Drama', 'Psychological', 'Sci-Fi']",EN,14
148,20th Century Boys,"['Drama', 'Historical', 'Mystery']",EN,249
149,20XX Level Up Disaster -A New Power Given by God-,"['Action', 'Adventure', 'Fantasy']",JA,37
150,21 Emon,"['Adventure', 'Comedy', 'Kids']",JA,51
151,21st Century Boys,"['Drama', 'Mystery', 'Psychological']",EN,16
152,21st Century Knights,['Fantasy'],EN,50
153,23-Wards Tokyo Majo,"['Adventure', 'Drama', 'Shounen']",EN,9
154,24 of my Students in my Class Died in One Night,"['Horror', 'Psychological']",EN,16
155,24-Ku No Hanako-San,"['Mystery', 'Seinen', 'Supernatural']",EN,22
156,86: Run Through The Battlefront,"['Action', 'Mecha', 'Military']",EN,2
157,86—Eighty-Six,"['Action', 'Drama', 'Military']",EN,17
158,9 Banme No Musashi - Mission Blue,"['Action', 'Adventure', 'Drama']",JA,17.5
